game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,X,all_critic_num,all_user_num_2,all_game_types,all_ratings,all_critic_positive,all_critic_mixed,all_critic_negative,all_user_positive,all_user_mixed,all_user_negative,global_sale_list
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,75,7.7,0,0,0,0,0,0,47,484,Action,M,24,22,1,45,28,28,NaN,139,47,484,Action,M,24,22,1,45,28,28,0.04
A Vampyre Story,2008-12-02,75,8.5,45,62081,949,56,0,216,33,25,Adventure,T,19,12,2,3,0,0,1379.57777777778,141,33,25,Adventure,T,19,12,2,3,0,0,0.02
The Sims 2: FreeTime,2008-02-26,74,7.3,44,1140365,14350,277,0,2386,13,17,Simulation,T,7,5,1,2,0,0,25917.3863636364,143,13,17,Simulation,T,7,5,1,2,0,0,0
Europa Universalis: Rome,2008-04-15,73,6.3,50,4784463,28978,637,0,6294,19,43,Strategy,E10+,11,8,0,2,1,1,95689.26,144,19,43,Strategy,E10+,11,8,0,2,1,1,0
The Political Machine 2008,2008-06-24,73,6.6,4,131070,655,39,0,110,19,5,Strategy,E10+,9,10,0,1,0,0,32767.5,147,19,5,Strategy,E10+,9,10,0,1,0,0,0
Frontlines: Fuel of War,2008-02-25,73,6.9,47,6493337,42900,2603,0,9529,19,171,Action,T,9,10,0,26,11,11,138156.106382979,148,19,171,Action,T,9,10,0,26,11,11,0.02
Neverwinter Nights 2: Storm of Zehir,2008-11-18,73,7.2,12,79916,917,22,0,832,15,67,Role-Playing,T,7,8,0,8,3,3,6659.66666666667,150,15,67,Role-Playing,T,7,8,0,8,3,3,0.01
X3: Terran Conflict,2008-10-16,73,7.9,11,5689,236,3,0,66,16,222,Simulation,T,7,9,0,56,14,14,517.181818181818,151,16,222,Simulation,T,7,9,0,56,14,14,0.03
Bully: Scholarship Edition,2008-10-21,72,7.5,39,269973,6451,85,0,1612,11,260,Action Adventure,T,6,4,1,35,15,15,6922.38461538462,152,11,261,Action Adventure,T,6,4,1,35,15,15,0.03
Mount & Blade,2008-09-30,72,8.7,10,2085354,9510,593,0,1994,28,458,Role-Playing,T,15,12,1,104,15,15,208535.4,153,28,458,Role-Playing,T,15,12,1,104,15,15,0.02
Rail Simulator,2008-01-16,72,6.9,39,133810,2420,66,0,979,13,24,Simulation,E,6,7,0,4,1,1,3431.02564102564,155,13,24,Simulation,E,6,7,0,4,1,1,0.01
The Lost Crown: A Ghost-hunting Adventure,2008-03-03,71,7.5,46,1225927,24781,212,0,2710,23,26,Action Adventure,T,10,12,1,3,1,1,26650.5869565217,156,23,26,Action Adventure,T,10,12,1,3,1,1,0
Sherlock Holmes: Nemesis,2008-04-14,71,7.5,31,11751,183,5,0,84,20,20,Adventure,E10+,7,13,0,1,3,3,379.064516129032,157,20,20,Adventure,E10+,7,13,0,1,3,3,0
Sacred 2: Fallen Angel,2008-11-11,71,6.8,40,287846,4468,120,0,870,41,205,Role-Playing,M,21,19,1,22,9,9,7196.15,158,41,205,Role-Playing,M,21,19,1,22,9,9,0.06
007: Quantum of Solace,2008-11-04,70,6.3,46,639208,4928,237,0,1477,18,54,Action,T,5,13,0,4,5,5,13895.8260869565,161,18,54,Action,T,5,13,0,4,5,5,0.03
MySims,2008-10-28,70,6.4,41,78007,439,24,0,233,12,8,Simulation,E,2,10,0,1,0,0,1902.60975609756,162,12,8,Simulation,E,2,10,0,1,0,0,0.03
Mercenaries 2: World in Flames,2008-09-04,70,5.9,49,290330,2670,102,0,1739,20,65,Action Adventure,T,6,14,0,4,7,7,5925.10204081633,164,20,65,Action Adventure,T,6,14,0,4,7,7,0
Dracula: Origin,2008-06-02,70,6.5,50,8129925,175621,4405,0,26625,31,21,Adventure,T,12,17,2,1,1,1,162598.5,165,31,21,Adventure,T,12,17,2,1,1,1,0
Nancy Drew: The Phantom of Venice,2008-07-11,69,6.6,9,964099,6551,335,0,1009,7,8,Adventure,E,3,3,1,0,1,1,107122.111111111,166,7,8,Adventure,E,3,3,1,0,1,1,0.01
Jack Keane,2008-04-15,69,7,49,27431828,216091,9962,0,59138,25,21,Adventure,T,5,20,0,5,1,1,559833.224489796,167,25,21,Adventure,T,5,20,0,5,1,1,0.03
